client_id,gender,birthdate,social,first,middle,last,phone,email,address_1,address_2,zipcode,district_id
C00000001,Female,"Thursday, 13 December 1990",926-93-2157,Emma,Avaya,Smith,367-171-6840,emma.smith@gmail.com,387 Wellington Ave.,Unit 1,47246,18
C00000002,Male,"Thursday, 4 February 1965",806-94-5725,Noah,Everest,Thompson,212-423-7734,noah.thompson@gmail.com,75 W. Berkshire St.,,10040,1
C00000003,Female,"Sunday, 9 October 1960",614-70-9100,Olivia,Brooklynne,Johnson,212-425-6932,olivia.johnson@outlook.com,36 Second St.,,10162,1
C00000004,Male,"Wednesday, 1 December 1976",580-20-3414,Liam,Irvin,White,951-567-8925,liam.white@gmail.com,7607 Sunnyslope Street,,49047,5
C00000005,Female,"Thursday, 3 July 1980",536-14-5809,Sophia,Danae,Williams,428-265-1568,sophia.williams@gmail.com,755 Galvin Street,,40852,5
C00000006,Male,"Friday, 22 September 1939",430-17-5825,Mason,Javen,Lopez,813-629-5038,mason.lopez7@gmail.com,8266 Arnold Drive,Unit 6,44987,12
C00000007,Male,"Tuesday, 25 January 1949",305-80-4254,Jacob,Khai,Lee,836-845-8120,jacob.lee7@gmail.com,827 N. Green Lake Court,,44359,15
C00000008,Female,"Friday, 21 February 1958",425-96-6358,Ava,Eliora,Brown,413-444-9280,ava.brown8@gmail.com,817 Joy Ridge Dr.,,1101,51
C00000009,Male,"Sunday, 16 October 1955",832-31-7252,William,Marek,Gonzalez,781-995-6192,william.marek.gonzalez@gmail.com,68 Carriage Road,,1901,60
C00000010,Male,"Wednesday, 1 May 1963",295-22-6122,Ethan,Veer,Harris,508-902-5510,ethan.harris9@gmail.com,754 Grandrose St.,,2740,57
C00000011,Female,"Saturday, 22 August 1970",666-36-2990,Isabella,Haidyn,Jones,508-688-6461,isabella.jones@hotmail.com,873 Randall Mill Dr.,,2741,57
C00000012,Male,"Tuesday, 20 February 2001",771-44-3992,James,Amauri,Clark,431-869-3807,james.clark9@gmail.com,275 Fairground Drive,,42009,40
C00000013,Female,"Sunday, 29 May 1994",618-33-8801,Mia,Hawa,Miller,840-168-6970,mia.miller@gmail.com,7429 Linden Drive,,47052,54
C00000014,Female,"Friday, 22 June 1962",806-78-2944,Abigail,Inaaya,Davis,914-018-0811,abigail.davis5@gmail.com,708 Oak Valley St.,,10701,76
C00000015,Female,"Sunday, 28 August 1938",711-78-2371,Emily,Joann,Garcia,556-415-7930,emily.garcia43@outlook.com,30 Brown St.,,49180,21
C00000016,Male,"Saturday, 25 February 1939",923-11-6562,Alexander,Bronx,Lewis,760-882-7015,alexander.lewis3@gmail.com,734 Bay Meadows Street,Unit 80,41275,21
C00000017,Male,"Wednesday, 13 October 1954",800-28-6783,Michael,Clifton,Robinson,914-238-1020,michael.robinson2@gmail.com,907 Green Lake Court,,10702,76
C00000018,Female,"Thursday, 5 April 1951",392-61-8907,Charlotte,Joi,Rodriguez,914-823-6406,charlotte.rodriguez2@gmail.com,7463 Griffin St.,,10703,76
C00000019,Male,"Friday, 28 December 1962",832-01-3704,Benjamin,Denis,Walker,927-296-6436,benjamin.walker@gmail.com,8095 Devon Court,,48126,47
C00000020,Male,"Monday, 4 January 1999",419-19-0547,Elijah,Grayden,Perez,886-176-3524,elijah.perez@gmail.com,597 Foster Street,,48787,46
C00000021,Female,"Sunday, 29 October 1972",139-70-2852,Harper,Juno,Wilson,894-384-1832,harper.wilson@outlook.com,6 Devon Court,,45780,12
C00000022,Female,"Wednesday, 11 October 1989",157-87-6583,Madison,Kimberlyn,Martinez,212-093-8170,madison.martinez@gmail.com,7062 Temple Court,Unit 1B,10282,1
C00000023,Male,"Saturday, 29 May 1993",158-18-4299,Daniel,Isa,Hall,212-803-8384,daniel.hall67@gmail.com,30 West Westport Dr.,,10009,1
C00000024,Female,"Wednesday, 29 July 1959",637-42-2042,Amelia,Leora,Anderson,302-681-4855,amelia.anderson8@gmail.com,44 Walt Whitman St.,,45260,43
C00000025,Female,"Thursday, 23 April 1959",349-52-4604,Elizabeth,Lupita,Taylor,184-276-9486,elizabeth.taylor@gmail.com,92 Fairway Drive,,42325,21
C00000026,Female,"Thursday, 20 April 1989",956-04-7186,Sofia,Makaila,Thomas,660-390-7055,sofia.thomas@gmail.com,17 East Glenridge Road,Apt. 3D,46300,74
C00000027,Female,"Wednesday, 26 March 1986",691-10-5744,Evelyn,Mari,Hernandez,407-745-6584,evelyn.mari.hernandez8@gmail.com,88 Second Dr.,,47795,54
C00000028,Male,"Wednesday, 29 September 1965",517-85-8773,Aiden,Jamil,Young,212-751-6276,aiden.young9@gmail.com,125 North Holly Dr.,,10158,1
C00000029,Female,"Saturday, 11 September 1971",518-96-1042,Avery,Mildred,Moore,996-691-7268,avery.moore@hotmail.com,327 Golf St.,,48851,30
C00000030,Female,"Sunday, 9 October 1977",610-21-2152,Chloe,Odette,Martin,255-965-5392,chloe.martin8765@gmail.com,8 Pacific Lane,,42552,74
C00000031,Male,"Tuesday, 9 February 1982",318-55-4386,Logan,Judd,Allen,452-935-2140,logan.allen4@gmail.com,9953 Coffee Court,,46720,68
C00000032,Male,"Friday, 28 July 2000",755-20-3365,Matthew,Keyon,Sanchez,214-728-5200,matthew.sanchez3@gmail.com,8163 Sutor Court,,45291,52
C00000033,Female,"Wednesday, 4 December 1968",956-56-8470,Ella,Triniti,Jackson,769-780-3102,ella.jackson4@outlook.com,940 Vale Lane,,46386,73
C00000036,Female,"Friday, 17 July 1998",611-81-5222,Grace,Emma,Thompson,530-856-5348,grace.thompson56@gmail.com,9675 Tanglewood Drive,,41755,7
C00000037,Male,"Friday, 10 August 1990",288-95-5033,Lucas,Korben,Wright,854-055-8899,lucas.wright5@gmail.com,50 Elmwood Street,,48628,7
C00000038,Female,"Friday, 23 July 1993",881-47-7103,Victoria,Olivia,White,976-965-9681,victoria.white43@gmail.com,329 Jockey Hollow Court,,48105,36
C00000039,Male,"Monday, 25 January 1988",426-18-0606,Jackson,Rishaan,King,918-846-9875,jackson.king@gmail.com,21 Middle River Drive,,43461,68
C00000040,Female,"Saturday, 22 January 1977",461-50-3823,Aubrey,Sophia,Lopez,776-464-1839,aubrey.lopez@gmail.com,943 N. Birch Hill Avenue,,42125,5
C00000041,Male,"Saturday, 27 August 1988",779-39-2212,David,Yousif,Scott,232-353-1692,david.scott@outlook.com,8572 Mill Pond Rd.,,45895,22
C00000042,Male,"Wednesday, 17 August 1955",472-48-0888,Oliver,Bailey,Green,334-407-0626,oliver.green@gmail.com,50 Smith Store Ave.,,45795,68
C00000043,Male,"Monday, 28 October 1940",445-32-4546,Jayden,Cedar,Baker,585-209-6726,jayden.baker4@gmail.com,38 Prairie Street,Unit 81,14602,75
C00000044,Female,"Saturday, 11 January 1997",396-63-1548,Scarlett,Ann,Lee,184-418-5826,scarlett.lee@gmail.com,9461 Rockledge Street,,44504,38
C00000045,Male,"Saturday, 26 August 1972",665-55-8941,Joseph,Ely,Adams,786-924-4329,joseph.adams@gmail.com,421 Vermont Drive,,42666,20
C00000046,Female,"Saturday, 30 January 1960",883-63-2770,Zoey,Emma,Gonzalez,129-567-0397,zoey.gonzalez@gmail.com,9437 Greystone Drive,,42729,19
C00000047,Male,"Wednesday, 14 July 1954",247-03-1392,Gabriel,Jahlil,Nelson,914-406-1227,gabriel.jahlil.nelson@gmail.com,8953 Jones Street,,10704,76
C00000048,Male,"Tuesday, 9 February 1960",392-60-6346,Samuel,Koby,Hill,627-964-4534,samuel.hill@gmail.com,14 Hanover Ave.,Unit 1B,41466,16
C00000049,Female,"Friday, 11 May 1979",918-27-5875,Addison,Olivia,Harris,492-103-4485,addison.harris@hotmail.com,7715 Prince Dr.,,43443,72
C00000050,Female,"Thursday, 30 July 1998",874-41-6125,Lily,Sophia,Clark,874-304-7236,lily.clark@gmail.com,44 Fordham Ave.,,48339,39
C00000051,Female,"Thursday, 2 December 1999",605-79-6843,Lillian,Ava,Lewis,193-754-1578,lillian.lewis@gmail.com,948 Annadale St.,,48078,36
C00000052,Male,"Tuesday, 12 December 1944",599-20-6019,Carter,Markel,Ramirez,594-267-8218,carter.ramirez@gmail.com,89 Henry Smith St.,,45430,32
C00000053,Male,"Monday, 5 May 1997",749-94-5094,Anthony,Oskar,Campbell,123-412-3909,anthony.campbell@outlook.com,8661 Dogwood Lane,,40915,64
C00000055,Female,"Wednesday, 18 September 1968",167-61-1121,Natalie,Isabella,Robinson,352-888-5607,natalie.robinson@gmail.com,114 Spring Street,,44611,45
C00000056,Male,"Monday, 31 March 1980",986-31-0393,John,Rigoberto,Mitchell,943-306-4745,john.mitchell@gmail.com,174 Halifax Ave.,,40089,21
C00000057,Female,"Thursday, 17 December 1981",767-26-4726,Hannah,Mia,Walker,410-131-4320,hannah.walker@gmail.com,62 South Manor Station Drive,,40846,21
C00000058,Female,"Tuesday, 29 April 1947",810-95-8590,Aria,Abigail,Perez,212-621-0332,aria.perez@gmail.com,9122 South Fieldstone Dr.,,10116,1
C00000059,Male,"Friday, 18 February 1977",305-32-3513,Dylan,Tiberius,Roberts,212-616-4139,dylan.roberts@gmail.com,188 1st Road,,10199,1
C00000060,Male,"Saturday, 19 February 2000",534-35-1562,Luke,Wolfgang,Carter,694-391-2679,luke.carter@outlook.com,8604 Miller Rd.,,42452,67
C00000061,Female,"Tuesday, 6 August 1968",890-87-8722,Layla,Emily,Hall,452-815-2646,layla.hall@gmail.com,8673 Wakehurst Court,,47090,16
C00000062,Male,"Monday, 8 December 1952",721-99-5393,Henry,Chayce,Phillips,315-775-0721,henry.phillips@gmail.com,279 Mechanic Lane,,13201,77
C00000063,Male,"Monday, 4 June 1979",486-07-3316,Andrew,Deven,Evans,853-813-3217,andrew.evans@gmail.com,9 Iroquois St.,,46324,4
C00000064,Male,"Monday, 22 April 1946",538-17-0630,Isaac,Levon,Turner,750-089-7210,isaac.turner@gmail.com,9314 Lees Creek Rd.,,40005,20
C00000065,Female,"Monday, 27 May 1963",380-98-0077,Brooklyn,Charlotte,Young,716-102-4229,brooklyn.young@gmail.com,682 Linden Dr.,,14267,50
C00000066,Female,"Wednesday, 10 November 1971",269-51-2282,Alexa,Harper,Allen,212-875-6847,alexa.harper.allen@gmail.com,18 Rockville Dr.,,10087,1
C00000067,Female,"Tuesday, 11 November 1952",400-72-8738,Zoe,Madison,Sanchez,254-359-7450,zoe.sanchez@gmail.com,388 Fawn Dr.,,45151,29
C00000068,Male,"Wednesday, 14 December 1966",854-39-7488,Christopher,Lloyd,Torres,798-103-7589,christopher.torres@hotmail.com,9855 Riverview Lane,,45109,43
C00000070,Male,"Saturday, 22 December 1945",618-58-1887,Joshua,Carsyn,Parker,956-519-0084,joshua.parker@gmail.com,70 Oak Ave.,,40489,70
C00000071,Female,"Thursday, 6 February 1947",861-61-1685,Penelope,Amelia,Wright,365-143-7361,penelope.wright@gmail.com,9886 Ridgeview Street,,41039,70
C00000072,Male,"Wednesday, 13 January 1943",613-29-1524,Wyatt,Devyn,Collins,542-643-2130,wyatt.collins@gmail.com,547 Marconi Court,,43117,47
C00000073,Male,"Sunday, 20 February 1944",818-46-2099,Sebastian,Dov,Edwards,916-123-8829,sebastian.edwards@outlook.com,9187 Hillcrest Rd.,,42612,22
C00000074,Female,"Thursday, 26 July 1945",921-32-4873,Riley,Elizabeth,King,966-857-3250,riley.king@gmail.com,7 Ridgeview Street,,42021,22
C00000075,Female,"Friday, 19 September 1997",659-99-6511,Leah,Sofia,Scott,617-030-2759,leah.scott@gmail.com,35 Walnutwood Ave.,,41921,64
C00000076,Female,"Thursday, 1 October 1987",297-77-5386,Audrey,Evelyn,Green,293-545-7588,audrey.green@gmail.com,8109 Lake View Road,,47819,36
C00000077,Female,"Wednesday, 18 February 1976",381-22-7472,Savannah,Avery,Baker,212-996-3299,savannah.baker@gmail.com,24 Leatherwood St.,,10114,1
C00000078,Female,"Saturday, 13 June 1964",309-65-8189,Allison,Chloe,Adams,206-534-4919,allison.adams@gmail.com,63 Bald Hill Street,,42644,16
C00000079,Female,"Friday, 10 March 1989",869-81-2271,Samantha,Ella,Nelson,192-898-8157,samantha.nelson@outlook.com,808 Glenwood Street,,42623,37
C00000080,Female,"Thursday, 25 February 1999",132-47-0825,Nora,Grace,Hill,914-011-1365,nora.hill@gmail.com,366 Purple Finch Road,,44952,64
C00000081,Male,"Monday, 29 April 1996",867-44-1568,Owen,Drayden,Stewart,427-771-2986,owen.stewart@gmail.com,874 Riverside Drive,,48427,8
C00000082,Female,"Saturday, 25 December 1999",100-94-2798,Skylar,Victoria,Ramirez,963-716-6263,skylar.ramirez@gmail.com,772 Sunnyslope Ave.,,45679,8
C00000083,Female,"Friday, 25 December 1998",470-19-9896,Camila,Aubrey,Campbell,212-031-4727,camila.campbell@gmail.com,619 Whitemarsh Rd.,,10278,1
C00000084,Male,"Wednesday, 5 May 1999",495-13-7873,Caleb,Floyd,Flores,212-946-7532,caleb.flores@gmail.com,7100 Wintergreen Street,,10019,1
C00000085,Male,"Thursday, 27 August 1981",751-50-9916,Nathan,Fynn,Morris,212-601-6414,nathan.fynn.morris@gmail.com,6 East Young Circle,,10168,1
C00000086,Female,"Thursday, 20 July 1989",414-33-2516,Anna,Scarlett,Mitchell,212-302-5046,anna.mitchell@gmail.com,9360 Bayport Ave.,,10111,1
C00000087,Female,"Thursday, 17 November 1966",145-42-2241,Paisley,Zoey,Roberts,112-422-3285,paisley.roberts@hotmail.com,673 East Ramblewood Street,,45190,72
C00000089,Female,"Wednesday, 5 May 1971",802-29-4364,Ariana,Addison,Carter,212-320-0620,ariana.carter@gmail.com,94 Chestnut Rd.,,10175,1
C00000090,Male,"Thursday, 17 August 1995",141-54-7729,Ryan,Jaron,Nguyen,917-017-6595,ryan.nguyen@gmail.com,921 Lake Forest Dr.,,42164,52
C00000091,Male,"Sunday, 7 August 1960",530-30-1461,Jack,Kaius,Murphy,831-379-6638,jack.murphy@gmail.com,556 South Schoolhouse St.,,40947,63
C00000092,Female,"Thursday, 12 June 1986",790-98-9800,Ellie,Lily,Phillips,485-505-9594,ellie.phillips@outlook.com,40 Myers Lane,,47075,74
C00000093,Male,"Friday, 16 February 1945",350-92-7187,Hunter,Kyran,Rivera,388-389-6102,hunter.rivera@gmail.com,6 Theatre Street,,43964,3
C00000094,Male,"Saturday, 9 September 1967",766-62-4458,Levi,Laken,Cook,933-101-0725,levi.cook@gmail.com,353 Birchpond Court,Unit 7,44476,43
C00000095,Female,"Thursday, 3 August 1972",744-82-5035,Aaliyah,Lillian,Evans,208-186-5708,aaliyah.evansw@gmail.com,6 Alderwood Ave.,,43812,43
C00000096,Male,"Saturday, 29 February 1992",848-45-1989,Christian,Monte,Rogers,708-773-3715,christian.rogers@gmail.com,12 Selby Street,,44520,74
C00000097,Male,"Thursday, 28 November 1985",109-31-5533,Jaxon,Stephon,Morgan,348-250-2252,jaxon.morgan@gmail.com,9079 Bald Hill Drive,,42423,26
C00000098,Female,"Tuesday, 4 May 1993",951-79-2346,Claire,Natalie,Turner,194-309-8767,claire.turner@outlook.com,86 Manchester Street,,44715,33
C00000099,Male,"Tuesday, 26 January 1993",378-12-6869,Julian,Britton,Peterson,805-269-0051,julian.peterson@gmail.com,478 High Ridge Street,,40996,33
C00000100,Female,"Saturday, 11 August 1962",744-16-6873,Violet,Hannah,Torres,912-067-2706,violet.torres@gmail.com,626 Arlington Rd.,Unit 77,47410,44
C00000101,Male,"Wednesday, 23 January 1963",110-19-8110,Landon,Estevan,Cooper,294-252-5352,landon.cooper3@gmail.com,221 Ashley Rd.,,47959,68
C00000102,Female,"Sunday, 10 September 1978",710-90-1424,Stella,Aria,Parker,181-988-1584,stella.parker@gmail.com,238 Foxrun St.,,48791,74
