client_id,gender,birthdate,social,first,middle,last,phone,email,address_1,address_2,zipcode,district_id
C00000001,Female,"Wednesday, September 25, 1996",926-93-2157,Emma,Avaya,Smith,367-171-6840,emma.smith@gmail.com,387 Wellington Ave.,Unit 1,47246,18
C00000002,Male,"Tuesday, March 2, 1971",806-94-5725,Noah,Everest,Thompson,212-423-7734,noah.thompson@gmail.com,75 W. Berkshire St.,,10040,1
C00000003,Female,"Thursday, August 12, 1971",614-70-9100,Olivia,Brooklynne,Johnson,212-425-6932,olivia.johnson@outlook.com,36 Second St.,,10162,1
C00000004,Male,"Thursday, November 9, 1995",580-20-3414,Liam,Irvin,White,951-567-8925,liam.white@gmail.com,7607 Sunnyslope Street,,49047,5
C00000005,Female,"Saturday, December 26, 1964",536-14-5809,Sophia,Danae,Williams,428-265-1568,sophia.williams@gmail.com,755 Galvin Street,,40852,5
C00000006,Male,"Saturday, December 10, 1994",430-17-5825,Mason,Javen,Lopez,813-629-5038,mason.lopez7@gmail.com,8266 Arnold Drive,Unit 6,44987,12
C00000007,Male,"Monday, March 18, 1963",305-80-4254,Jacob,Khai,Lee,836-845-8120,jacob.lee7@gmail.com,827 N. Green Lake Court,,44359,15
C00000008,Female,"Saturday, January 15, 1977",425-96-6358,Ava,Eliora,Brown,413-444-9280,ava.brown8@gmail.com,817 Joy Ridge Dr.,,1101,51
C00000009,Male,"Wednesday, September 6, 1967",832-31-7252,William,Marek,Gonzalez,781-995-6192,william.marek.gonzalez@gmail.com,68 Carriage Road,,1901,60
C00000010,Male,"Thursday, February 20, 1992",295-22-6122,Ethan,Veer,Harris,508-902-5510,ethan.harris9@gmail.com,754 Grandrose St.,,2740,57
C00000011,Female,"Thursday, September 29, 1977",666-36-2990,Isabella,Haidyn,Jones,508-688-6461,isabella.jones@hotmail.com,873 Randall Mill Dr.,,2741,57
C00000012,Male,"Friday, March 18, 1977",771-44-3992,James,Amauri,Clark,431-869-3807,james.clark9@gmail.com,275 Fairground Drive,,42009,40
